Date,Subject,Hours
07/26/2012,proofreading of feature parts (simtext \& bibtex) and the whole documentation,2
07/25/2012,proofreading of feature parts (simtext \& bibtex) and the whole documentation,3
07/25/2012,Skype Meeting 23.07.2012 \& 25.07.2012,1
07/25/2012,html2pdf pagebreak problems,15
07/25/2012,documentation for report and shotime,15
07/25/2012,documentation for report and shotime,6
07/20/2012,Skype Meeting 19.07.2012,0.5
07/13/2012,meeting 11.07.2012 - preparation for showtime,3
07/13/2012,meeting 12.07.2012 - preparation for showtime (cont.),4
07/19/2012,Meeting  Showtime Preperation,2
07/03/2012,created first concept of the brochure and content of the describing poster for the showtime,2
06/30/2012,Meeting 2012-06-29,2
07/25/2012,Add form for report creation,10
07/07/2012,Debbie Meeting 18.06.12 ,1.5
06/24/2012,Meeting 2012-06-11,1.5
06/24/2012,Improving reports,20
06/01/2012,"""Debbie Meeting"" 01.06.12",1
06/01/2012,Skype Meeting 31.05.12,1
05/30/2012,Skype Meeting 28.05.12,1.2
06/01/2012,Improvement of reports,7
05/30/2012,Improvement of reports,20
05/14/2012,Debbie Meeting 2012-05-14,1.5
05/07/2012,Meeting 2012-05-07,3
05/03/2012,Skype Meeting 3.05.12,1.3
05/14/2012,Implement a simple-report,17
05/11/2012,Implement a simple-report,1
05/04/2012,Implement a simple-report,2
04/30/2012,Debbie Meeting 30.04.12,2
04/29/2012,Skype Meeting 29.04.12,2
04/26/2012,implementing simtext compare function in fragment form,5
04/25/2012,implementing simtext compare function in fragment form,3
04/24/2012,implementing simtext compare function in fragment form,4.5
04/24/2012,implementing simtext compare function in fragment form,5
04/23/2012,Team Meeting 23.04.12,3
04/23/2012,errors after pulling new version from repository,5
04/20/2012,Skype Meeting 20.04.12,2
04/16/2012,Team Meeting  2012-04-16,3.5
04/23/2012,Implementing Sim-Text in PHP based on the Javascript version,5
04/20/2012,Implementing Sim-Text in PHP based on the Javascript version,8
04/16/2012,Implementing Sim-Text in PHP based on the Javascript version,4
04/16/2012,Implementing Sim-Text in PHP based on the Javascript version,2.5
04/12/2012,Meeting 12.04.12,2
04/12/2012,Debbie Meeting 11.04.2012,1
04/13/2012,research about the work process of simtext and the simtext javascript class at vroniplag,4
04/12/2012,research about the work process of simtext and the simtext javascript class at vroniplag,1.5
04/12/2012,"wiki entry about to create fragments, taken from vroniplag wiki",0.25
